PickUpA.Queue.WaitingTime,ReturnA.Queue.WaitingTime,PickUpB.Queue.WaitingTime,ReturnB.Queue.WaitingTime,PickUpC.Queue.WaitingTime,ReturnC.Queue.WaitingTime,PickUpD.Queue.WaitingTime,ReturnD.Queue.WaitingTime
0.0,3.0085,0.19548,0.0,22.235,0.0,0.0,1.3706
0.0,0.0,0.0,0.0,0.0,0.64973,0.0,0.0
20.526,0.0,14.665,32.631,29.139,0.0,0.0,138.22
0.0,0.37447,6.9388,0.0,0.0,26.278,0.07029,0.0
0.0,89.977,42.63,0.0,26.389,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3401
0.0,5.182,0.0,0.0,0.0,0.0,0.51937,0.0
0.0,20.631,0.0,0.0,0.0,0.0,29.172,0.0
0.0,49.631,0.0,0.0,0.0,0.0,1.1352,0.0
0.74425,0.0,0.0,0.0,0.0,25.501,2.5054,0.0
0.0,0.4112,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.3148,0.04074,0.0,0.0,0.00697,3.4907,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7767
0.0,0.164,0.0,0.0,2.7768,0.0,0.0,0.0
0.0,27.69,94.77,0.0,0.0,1.3845,0.07233,0.0
1.9594,0.0,0.0,0.0,0.0,7.8705,0.0,0.0
0.0,3.2995,0.0,0.00652,1.2639,0.0,2.6011,0.0
0.0,108.88,22.274,0.0,0.0,0.0,0.20977,0.0
55.145,0.0,0.0,31.351,0.0,1.6492,2.6315,0.0
0.0,156.58,4.7779,0.0,58.889,0.0,0.68139,0.0
0.0,0.05613,35.371,0.0,0.0,23.407,4.352,0.0
9.0786,0.0,0.0,60.538,0.0,92.343,14.93,0.0
43.186,0.0,4.9445,0.0,2.4279,0.0,0.0,184.23
0.04945,0.0,0.01882,0.0,0.0,0.02401,0.0,0.04785
0.0,0.0,13.803,0.0,0.0,0.01248,0.0,11.384
0.0,0.0,1.3867,0.0,0.0,69.377,0.94187,0.0
24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.95551
0.0,0.01781,0.0,0.0,0.0,10.891,29.965,0.0
22.885,0.0,3.6092,0.0,0.0,192.14,15.38,0.0
25.151,0.0,0.0,6.591,0.0,0.98083,0.0,20.594
0.0,7.8241,0.0,0.53857,0.0,0.0,15.445,0.0
0.0,0.0,5.6038,0.0,0.0,18.43,0.0,0.0
0.0,7.8363,2.6356,0.0,0.0,0.54497,6.4802,0.0
0.0,0.0,67.635,0.0,0.0,0.48115,0.0,0.0
11.952,0.0,0.0,0.09684,0.0,21.103,23.679,0.0
0.0,0.43941,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00161,0.0,0.0,0.0,0.0,0.0,0.0
17.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,87.086,1.3891,0.95083,107.1,0.0,1.6454,0.0
8.3875e-05,0.0,0.0,0.0,0.0,31.653,2.018,0.0
0.0,0.0,12.93,0.0,0.0,2.6468,0.0,3.6193
0.0,0.73242,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.38979,0.00399,0.0,0.61922,0.0,0.0,0.03749
0.0,304.48,53.118,0.0,50.956,0.0,16.371,0.0
0.0,0.0,0.0,0.0,19.173,0.0,0.0,0.0
0.0,0.0,17.219,0.0,0.0,0.0,0.0,0.47369
0.0,0.07496,0.0,2.099,0.0,0.00070164,49.792,0.0
0.0,60.623,0.0,0.87991,13.281,0.0,9.3366,0.0
1.6746,0.0,3.8911,0.0,0.0,0.0,0.0,84.417
67.641,0.0,3.0457,0.0,0.0,0.02532,0.0,46.054
